,id,title,rating,review
0,tt0076759,Star Wars: Episode IV,10.0,"I couldn't have asked for anything more. Star Wars: A New Hope had it all. If I had to sum it up in one word, superlative would be my answer. I saw the film for the first time three months ago and loved it, and since then I have watched all the Star Wars movies. I was disappointed with the prequels (Attack of the Clones was my least favourite), but this, Return of the Jedi and Empire Strikes Back were perfection.I have to say that the film looks absolutely amazing even after thirty plus years, with highly imaginative sets and dazzling special effects. And the action sequences were superbly choreographed and brisk, the Death Star climax was a knockout. The music by John Williams is absolutely outstanding, by far one of his more exciting and rousing scores. The story is fast-paced, intelligent and has an essence of sophistication, and the screenplay is sharp and decisive.And the performances were flawless. In the prequels I had problems relating to some of the performers, namely Hayden Christensen as Anakin. Here, all the actors played their parts with superlative skill. Alec Guiness, one fine actor and will be sorely missed was a standout, likewise with Peter Cushing and Harrison Ford(hilarious here). Carrie Fisher was a fine Princess Leia, spunky, beautiful and sexy, and Mark Hamill was a completely likable Luke. And the villain Darth Vader, without doubt one of the best and in-depth villains in cinematic history, and James Earl Jones's deep booming voice was perfect for the character.All in all, a definite sci-fi classic, that blew me away. 10/10 Bethany Cox"
1,tt0076759,Star Wars: Episode IV,10.0,"The awesome special effects and the creation of creatures that are part of the vivid imagination of George Lucas are not the reason for the enduring popularity of Star Wars and the franchise it spawned. Rather it is because of the characters Lucas created that will live as long as we have cinema and the means to display it.The spectacle is behind some real, but simple people. No shadings of gray in the first Star Wars we know without any doubt who the heroes and villains are of this piece. On an isolated planet a galaxy wide dictatorship called the Empire and the revolt against come to wear young Luke Skywalker as played by Mark Hamill and his family reside. So does Alec Guinness, a reclusive and mysterious hermit. An escape pod crashes there with two androids, C3PO and R2D2 and in the latter is a message for Guinness who was at one time a Jedi Knight, fiercest of a warrior class, from Carrie Fisher playing Princess Leia. Also in R2D2 are the schematics for the Empire's ultimate weapon the satellite size death star that can deal killing out on a planetary scale. This starts an adventure with young Hamill who teams up with futuristic soldier of fortune Harrison Ford as Han Solo and his simian like sidekick Chewbacca to rescue the Princess and defeat the Death Star.Those are the good guys. The bad guys are the blackest of black villainy. Peter Cushing cold bloodedly commands the Death Star, but the mysterious Darth Vader, clad in black with a helmet completely covering his head, has mysterious powers and even his superiors are wary of him. The voice of James Earl Jones is unforgettable as the black prince of the galaxy.These are characters that bring out the kid in all of us. The ones who claim the most sophistication in their lives will cheer on for Hamill and Ford and will be fascinated by the double dyed villainy of Darth Vader.Perhaps the most interesting aspect of Star Wars and I speak now of all the films is the way such non-humans as the robots and Chewbacca the Wookie became characters. C3PO had dialog, but R2D2 had a few clicks and bleeks and all Chewbacca did was grunt, still they became as identifiable as the human characters.Star Wars set the standard for science fiction films to come for the next several generations. It was given six Oscars in a bunch of technical categories and it's got a re-release value that Gone With The Wind used to have.The Force Will Be With Us Always."
2,tt0076759,Star Wars: Episode IV,8.0,"Okay, so as a kid this was one of my favourite films. But as you grow up things change and on second viewing, I found this film to be surprisingly slow in places and actually comes close to outstaying its welcome towards the end. These aren't big flaws, mind you, but ones which niggle at me and make me feel as if I'm betraying a universal dream in some way. The truth is that I far prefer the second and third entries in this series, as they don't have to go through the troubles of introducing all the characters, and instead can simply continue the action at a fast speed.There are many good things about this film to make it worthwhile, though. This is one of those movies with a comic book feel to it which can appeal to adults and children alike. There's a sufficiently 'epic' nature to the film, in that a whole other universe has been created and we are merely viewing a part of what happens in it. There's plenty of action, ranging from the traditional light-saber fights to some exciting space skirmishes. The huge budget allows for many, many different special effects. Some of these look a little ropey today but they're all infinitely superior to the overblown, laughable CGI antics in THE PHANTOM MENACE, where all touch with reality was lost.The characters are likable and clear-cut; you've got heroic heroes and evil villains. Mark Hamill is fine as Luke Skywalker, although it's sad that he never achieved success in any other movies NOT in the STAR WARS series. Harrison Ford provides a clean, charismatic action man in Han Solo. Carrie Fisher is pretty and funny as Princess Leia, and Alec Guinness lends heavyweight support to the whole affair with his Obi-Wan Kenobi. The only downside to the cast are the inclusion of the robots C3P0 and R2-D2 and Chewie, who are, seen today in an adult light, pretty irritating, it has to be said. But for kids, they're funny.The villains always tend to be the best guys in these films and this is no exception. Darth Vader is THE king of cool, and I always wanted to be him when I was younger. It's strange to think how strongman Dave Prowse when from being the monster in Hammer's lame HORROR OF FRANKENSTEIN to becoming one of the biggest screen villains of all time. One also mustn't forget the contribution of Peter Cushing in what was his most popular movie; he lends gravity to the movie and is excellent as the icy commander of the Death Star, mainly through his voice alone.Although this is a long film, the action is split up across a number of different planets in order to make it more interesting. There are laser battles, lots of shooting, brief gore (an arm-lopping), and all manner of weird and wonderful rubbery alien creatures to make it enjoyable. I especially loved the scene in the garbage disposal unit which uses the old ""closing walls"" routine on our heroes to great effect. This is a deservedly famous movie which kick-started a whole new mythos, brought a legion of movie nerd fans together and harked back to the great days of the sci-fi serials of the late '30s and '40s. Not the best of the series, but pretty darned good going."
3,tt0076759,Star Wars: Episode IV,,"Star Wars (1977) **** (out of 4) Luke Skywalker (Mark Hamill) joins forces with Obi-Wan Kenobi (Alec Guinness) as they plan to go after Princess Leia (Carrie Fisher) who is being held hostage by Darth Vadar.Whether people like it or not, STAR WARS is one of those ground-breaking movies that became a massive hit and it eventually took over the world. Watching the film so many years later it really is amazing what George Lucas was able to do with this film and what would follow. I will gladly admit that I'm not a fanboy of this series and in fact this recent viewing was the first time I had seen this since it was released in its Special Edition form. With that said, even though I'm not a ""fanboy"" it's impossible to deny that power that this film contains.Storywise there's really nothing overly ground-breaking here but in my opinion that's what makes the film so darn good. There's no long-winded or drawn-out story to drag things down. The basic premise is rather simple as an up-and-coming fighter gets his opportunity to be great and sets out to do so. I think this simple story makes the characters stand out all the better because it really gives them a chance to shine and come to life. It certainly also helps that Lucas was clearly a fan of those cliffhangers from previous decades because he knows how to build up scenes and milk them for everything they're worth.It's really hard to say anything fresh or new about this film but watching this first one it's easy to see why people like Hamill and Fisher became iconic in these parts. Both are quite good in the film as are Alec Guinness and Peter Cushing, the two veterans of the picture. With that said, I think it goes without saying that it's Harrison Ford who really stands out in the role of Han Solo. His comic timing with Chewbacca has made for some of the most memorable moments of this film and he's simply delightful to watch in the role.Of course, fans will debate the tinkering that Lucas has done with the picture but I think both versions hold up extremely well. I understand the purist who want to view what they originally saw in theaters and I understand those who defend the updating of the effects. Either way, STAR WARS is a rare blockbuster that also manages to be extremely well-made and deserving of its reputation."
4,tt0076759,Star Wars: Episode IV,10.0,"This story happened 'A long time ago in a galaxy far, far away'. The galaxy is under the dictatorship of the emperor. Princess Leia (Carrie Fisher) is part of the rebellion but is capture by the evil Darth Vader. Luke Skywalker (Mark Hamill) the young hero, Han Solo (Harrison Ford) the brigand, his sidekick Chewbacca, and the wise master Jedi Ben Obi-Wan Kenobi (Alec Guinness) must together rescue the princess and save the galaxy.The characters are icons pulled from classic storytelling like Akira Kurosawa's ""The Hidden Fortress"". George Lucas was able to assemble such iconic characters into a well told story. Rarely is a movie change the nature of movie-making, and even the wider culture. This may be on the list of the most important movie ever. It changed the tone of movies from the gritty morally-confused 70s to the popcorn selling blockbusters that are soon to come."
5,tt0076759,Star Wars: Episode IV,9.0,"I will never forget the hoopla associated with this movie. Having seen articles in Time and Newsweek, my friend and I took off early from work and made our way to the one theater in the Minneapolis Metro area that was showing ""Star Wars"" (boy have times changed!). There were local news stations, reporters, models, everywhere. How we were able to just walk to the window and purchase tickets, I don't know, but we did. I still have my blue button with ""May the Force be With You"" emblazoned on it. I'm told it's pretty valuable. A reporter approached us and asked my friend, ""What do you expect."" He responded in his sort of wise ass way, ""A sprawling intergalactic epic.""That was all very interesting, but when we finally sat down and the movie began, I found it was less than I had hoped for. Part of my problem was that at that time, most of what I read was science fiction. As I watched the events unfold, I realized that this movie wasn't really science fiction--it was a Western. It was the good guy versus the bad guy and an effort to save the old ranch that the bad guys have pillaged. Take out the awesome special effects and the cool aliens and it just wasn't very interesting. I realize that most of the people that have seen this consider it just slightly below the second coming--nearly a religious experience--but it wasn't for me. I saw nothing new or complex about the character or the themes in the movie. As far as speculative science fiction it is barren. Don't get me wrong, I still think that there are amazing things to watch, but I can't get past the fact that the storm troopers can't hit the broad side of a barn with laser weapons but the good guys can pick off about a dozen from behind a post. Where did these guys get their training? How has the Empire survived so long with these incompetents. Having read ""Dune"" years before this film came out, I have to be brutally honest--how George Lucas didn't get sued for stealing from that book, I'll never know. I always wondered if he made a deal with Frank Herbert.The worlds are exotic. The aliens are wonderful (although, I thought the second and third movies were much better), especially that bar scene. But the bottom line is that it's an adventure movie. Maybe someday someone will convince me otherwise (I have had about 50 people try). If I'm going to watch a Western, I prefer the Earps and Doc Holliday."
6,tt0076759,Star Wars: Episode IV,,"first stone for a pop culture monument. not impressive. but nice and useful for its profound innocence. an old fashion Star Wars, full of secrets, naive like its heroes, mixture of Medieval stories and Sci Fi, mirror for teenager 's ambitions, dreams and fantasies, proposing interesting characters and fight scenes who seems be more than fireworks. the fight between Good and Evil. start of a legend. and beautiful slices of humor in different forms. a film who preserves the emotion and fascination of its first public. and, sure, the crazy risks for George Lukas. story of three heroes and exotic in admirable manner, it is always fresh. or, maybe, evergreen. for the small details, for the acting - Han Solo could be different? Luke Skywalker is not the best image of the boy from each from us ? and maybe, as more than piece from large puzzle, a wonderful story about courage. and about Force."
7,tt0076759,Star Wars: Episode IV,6.0,"""Star Wars"" is a 2-hour science fiction movie from almost 30 years ago written and directed by George Lucas. There really needs nothing to be said about how good this is for a 1970s movie, especially in terms of technical aspects. The Academy certainly got it right by giving them all these Oscars for it. However, it lacks in certain other areas unfortunately. First of all, the acting isn't too great. That is not really a problem of the characters though, but rather of the way they were written, which simply offered no room for outstanding performances. And Peter Cushing's character was downright forgettable despite being the main antagonist. Instead people remember Darth Vader obviously. Why? Because this film is all about the way the characters look and not what they do or say. A bit style over substance. Apart from that, I am quite surprised Alec Guinness scored an Academy Award nomination for his turn here.The script is not the greatest achievement in general. It's the usual black-and-white characterization with good vs evil and the characters have no real shades, no facets. This was made up again by the strong work in other departments as it's not too memorable what they say and do, but what they look like, especially the non-human characters who are all somewhat considered legendary today. I am not saying the characters are written badly. Not at all. But it's just other contributions that made them what they are today. Not the script. And while I enjoyed most of the film, I cannot see it as an epic or a cult classic as so many people do to this date. ""Star Wars"" is bound to rise again with the new film coming out soon and featuring the original cast again. It should be interesting what they make out of it. Until then, feel free to watch the old films like this one, but not too many. The very first Star Wars film here is not a great achievement in terms of story, only in terms of all visual and audible aspects."
8,tt0076759,Star Wars: Episode IV,10.0,"During the attack of the Empire's forces under the command of Darth Vader (David Prowse) to her spacecraft, the rebel Princess Leia Organa (Carrie Fisher) hides in the memory of R2-D2 the plans of the powerful Empire's Station Death Star that spies from the Rebel Alliance have stolen. She assigns the droid to deliver the plans to Obi-Wan Kenobi with a message to give the plans to the rebels. R2-D2 flees to the Planet Tatooine with his fellow C-3PO in a space pod and land on the desert, but they are captured by Jawa traders. They are sold to Owen Lars (Phil Brown) and when his nephew Luke Skywalker (Mark Hamill) is cleaning the droid, he accidentally activates part of the message and he wonders whether it would be addressed to the old Ben Kenobi. On the next morning, Luke discovers that R2-D2 is seeking out Obi-Wan Kenobi and he goes after him with C-3PO. They are attacked by the Tusken Raiders and saved by a drifter, who is Ben Obi-Wan Kenobi (Alec Guinness) that tells part of his past as Jedi to Luke. He also tells that his father was a Jedi Knight and gives a light-saber that belonged to his father to Luke. Obi-Wan invites Luke to travel with him to Alderaan and when he finds that his family was killed by the Imperial soldiers, he decides to join Obi-Wan in his quest. They head to Mos Esley to hire a skilled pilot and they team-up with the smugglers Han-Solo (Harrison Ford) and Chewbacca (Peter Mayhew). Meanwhile the evil Grand Moff Tarkin (Peter Cushing) orders to destroy the planet Alderaan to show the power of the Death Star to Leia and the rebels. Obi-Wan feels the impact in the Force and when the Millennium Falcon arrives at the destination, the group finds only debris. Further, a tractor beam pulls the spacecraft to the Death Star. What will happen to the group and Princess Leia? Will they succeed in delivering the information to the rebels?""Star Wars"", later retitled ""Star Wars: Episode IV - A New Hope"" is the unforgettable and charming sci-fi adventure that surprised the world in 1977. The strategy of George Lucas that claimed that there was no technology available to the cinema industry in 1977 to produce the three first chapters was part of a marketing strategy that kept alive the interest of fans fro the whole six chapters, In sequence, great part of the mystery would not have raised. All the films are engaging, but none of them can beat this one rated #19 in IMDb. Harrison Ford in the top of his career and the cast show a wonderful chemistry. My vote is ten.Title (Brazil): ""Star Wars: Episódio IV – Uma Nova Esperança"" (Blu-Ray) (""Star Wars: Episode IV – A New Hope"")"
9,tt0076759,Star Wars: Episode IV,,"The Republic has fallen and the Empire rules the galaxy as a dictatorship, seeking to destroy dissenting voices. The Empire's ultimate weapon, the Death Star, is fully on line and capable of destroying whole systems. The Jedi have been destroyed, save a few living in hiding, unable to compete with the force of the Empire. However Princess Leia has the plans showing a weakness within the Death Star. Before she is captured by Darth Vader she gives them to droids C3PO and R2D2 and they escape. When they land on a nearby planet they find Luke Skywalker and set out to find the owner of the droids Obi Wan Kenobi, or Old Ben Kenobi. Obi Wan begins to train Luke in the way of the force as they try to get the information to the Rebellion before the Death Star can be used at full power.It's not a brilliant piece of filmmaking  lets be honest, Lucas isn't the Shakespeare of our generation. However what it is, is a good story of good v's evil, a western of goodies v baddies set in space. The story is simple but contains clear characters. The thing that sets it apart is the fun  the sense of wonder for kids but also the enjoyment it brings to adult. The story is good for a sci-fi with a lot of history and back-story clearly set out up front. The action scenes are mostly great  not dry effects but with a real sense of action and excitement too.This may be the 4th part but it's also our first chapter, it is light and enjoyable but hints that this is only part of an ongoing battle. The way it relates to kids and adults is obvious as it broke records and everyone of a certain age knows about Star Wars! The effects still look good today  in many ways the model work looks better than all digital effects simply because they are `real' and don't just exist within a computer. Sound effects, comedy, music  it's all pitch perfect and sets up the rest of the series really well.Hamil is ok as Skywalker (`Blonde hair, blue eyes'  Chasing Amy!). He is suitable for a kids film and he does well with his role. However like part 1 has Anakin at his least interesting, part 4 has Luke yet to develop into darker areas. Ford is perfect as Han Solo  he adds character and flair to some dry performances. Alec Guinness adds maturity to the whole film and is so good is Obi Wan that even Ewan McGregor just does an impression rather than recreate the role. Darth Vader is just the right side of silly camp villain, Jones' voice is a perfect fit and he has real menace and power. Bits players such as Chewie, C3PO, R2D2 etc all add comedy in spades.Overall this film is even better now that we know how it all fits together in Star Wars `history'. But even without all the hype this is a really fun sci-fi that is enjoyable, simple and really good fun to watch if you're in the mood. Having a deeper perspective on it just makes it all the better."
